#{"t_start": 1776950994.1509461, "env_id": "CarRacing-v3"}
r,l,t
-58.174905,1000,9.328584
-54.545455,1000,19.317973
-47.552448,1000,34.708699
-43.262411,1000,43.896339
-25.531915,1000,57.104597
-15.708812,1000,65.553202
-20.689655,1000,78.663842
-47.019868,1000,87.458133
-44.444444,1000,100.726273
-21.568627,1000,109.364235
-19.678715,1000,123.065044
-14.285714,1000,131.629796
-12.408759,1000,144.761748
24.161074,1000,153.486366
16.182573,1000,166.431756
-24.460432,1000,174.937993
-36.440678,1000,188.074522
-26.380368,1000,197.013498
-71.698113,1000,210.355019
-14.590747,1000,218.970308
-18.149466,1000,231.776116
-20.863309,1000,240.894771
-16.107383,1000,255.298331
-51.388889,1000,264.993481
-19.354839,1000,279.157108
45.038168,1000,287.941326
-21.708185,1000,300.441513
-21.568627,1000,309.193907
142.622951,1000,322.800944
378.26087,1000,331.995507
-18.149466,1000,345.324911
26.394052,1000,353.712853
254.961832,1000,366.497679
324.561404,1000,374.968593
10.771186,656,380.56813
-20.766667,542,389.284517
-15.057915,1000,397.295739
401.706485,1000,410.521667
662.057878,1000,419.173028
174.760383,1000,432.356121
36.054422,1000,440.9424
714.189189,1000,454.014211
408.77193,1000,462.801887
80.505415,1000,475.44617
268.770764,1000,484.260634
475.438596,1000,497.254716
76.470588,1000,505.896475
616.911765,1000,518.872043
221.917808,1000,527.777237
213.868613,1000,540.709939
304.109589,1000,549.476299
292.61745,1000,558.225996
688.321168,1000,582.624865
